ObjectID,Mapped,Crash Date,City/Town,Address,AOT Route,Crash Type,Collision Direction,Weather,Road Group,Report Number,Reporting Agency,Road Group ID,AOT Actual Milepoint,Animal,Time of Day,Intersection With,Impairment,Involving,Non Reportable Address,Reporting Agency ID,Road Characteristics,Road Condition,Street Address,Surface Condition,AOT Route ID,Coordinates
4212508,,"August 13, 2019, 12:00 AM",Essex,21 Essex Way,Unknown,Property Damage Only,Single Vehicle Crash,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19ES04382,Essex PD.,9,999.99,None/Other,,Billie Butler Dr,None,None,,VT0040200,Parking Lot,Unknown,21 Essex Way,Dry,0,"44.506526673658705,-73.08368139185355"
4212806,,"August 13, 2019, 3:11 PM",Essex,129 Main St,VT-15,Property Damage Only,Rear End,Clear,"State Highway numbered route, Class 1 TH",19ES04360,Essex PD.,11,2.88,None/Other,Day,Meadow Ter,None,None,,VT0040200,Not at a Junction,None,129 Main St,Dry,150,"44.49689867518458,-73.1007740929501"
4212906,,"August 13, 2019, 6:58 PM",South Burlington,1930 Williston Rd,Unknown,Property Damage Only,Rear End,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19SB008573,So. Burlington PD.,9,999.99,None/Other,Day,Aviation Ave,None,None,,VT0040300,Parking Lot,Unknown,1930 Williston Rd,Dry,0,"44.461162337536145,-73.14998001426743"
4214701,,"August 13, 2019, 9:22 PM",South Burlington,Hinesburg Road,VT-116,Property Damage Only,Rear End,Cloudy,"State Highway numbered route, State owned",19SB008575,So. Burlington PD.,10,2.91,None/Other,Night,Derby Circle,None,None,,VT0040300,Not at a Junction,None,Hinesburg Road,Dry,1160,"44.451251771443545,-73.15923228785563"
4214847,,"August 13, 2019, 10:12 PM",Colchester,Roosevelt Highway,US-7,Injury,Opp Direction Sideswipe,Clear,"State Highway numbered route, State owned",19CC007859,Colchester PD.,10,0.19,None/Other,Night,"I-89 Exit 16, SB Off Ramp",None,None,,VT0040500,Four-way Intersection,None,Roosevelt Highway,Dry,70,"44.50523755882809,-73.18129105824784"
4212525,,"August 14, 2019, 7:41 AM",Williston,North Williston Rd,NO. WILLISTON ROAD,Property Damage Only,Rear End,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19WT03444,Williston PD.,2,2.4,None/Other,Day,Fay Lane,None,None,,VT0041000,Not at a Junction,None,North Williston Rd,Dry,U5508,"44.46525143242568,-73.0476786631357"
4216486,,"August 14, 2019, 8:01 AM",Burlington,N Willard St,US-7,Property Damage Only,Same Direction Sideswipe,Cloudy,"State Highway numbered route, State owned",19BU017601,Burlington PD,10,2.47,None/Other,Day,Adsit Ct,None,Heavy Truck,,VT0040100,Not at a Junction,Other - Explain in Narrative,N Willard St,Dry,70,"44.48119485020102,-73.20570834924597"
4212524,,"August 14, 2019, 9:57 AM",South Burlington,947 Shelburne Rd,US-7,Property Damage Only,Same Direction Sideswipe,Clear,"State Highway numbered route, State owned",19SB008584,So. Burlington PD.,10,1.67,None/Other,Day,Queeen City Parkway,None,Heavy Truck,,VT0040300,Not at a Junction,,947 Shelburne Rd,Dry,70,"44.44494286611918,-73.20953791871293"
4214444,,"August 14, 2019, 11:40 AM",Jericho,Fields Lane,TOWN ROAD 0029,Injury,Single Vehicle Crash,Clear,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",19A103877,VSP - A1 Williston,6,999.99,None/Other,Day,52 Fields Lane,None,None,,VTVSP0100,Not at a Junction,None,Fields Lane,Dry,T0029,"44.44961321219088,-72.95907560991787"
4212512,,"August 14, 2019, 1:33 PM",Williston,1037 S. BROWNELL,Unknown,Property Damage Only,Other - Explain in Narrative,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19WT03451,Williston PD.,9,999.99,None/Other,Day,IGNITE CHURCH,None,None,,VT0041000,Parking Lot,None,1037 S. BROWNELL,Dry,0,"44.44921737615818,-73.12464519025445"
4212489,,"August 14, 2019, 1:41 PM",Burlington,502 North St,NORTH ST,Property Damage Only,Head On,Cloudy,Street or Town Highways in FA Urban Area,19BU017631,Burlington PD,5,999.99,None/Other,Day,N Prospect St,None,None,,VT0040100,Other - Explain in Narrative,None,502 North St,Dry,0,"44.485044941475,-73.20154262924896"
4214536,,"August 14, 2019, 4:11 PM",Milton,East Rd,EAST RD,Property Damage Only,Opp Direction Sideswipe,Clear,Minor Collector - Non Fed Aid Rural TH,19MT006302,Milton PD.,4,999.99,None/Other,Day,Tracks,None,None,,VT0040600,Other - Explain in Narrative,None,East Rd,Dry,S0837,"44.58170813264537,-73.12065805758368"
4212244,,"August 14, 2019, 7:53 PM",Burlington,Maple St,MAPLE ST. BURLINGTON,Injury,"No Turns, Thru moves only, Broadside ^<",Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU017659,Burlington PD,2,0.37,None/Other,Night,S Winooski Ave,None,None,,VT0040100,Four-way Intersection,None,Maple St,Dry,U5066,"44.473774934197294,-73.21089527327972"
4214643,,"August 15, 2019, 8:03 AM",Burlington,S Winooski Ave,ALTERNATE US-7,Property Damage Only,Same Direction Sideswipe,Clear,"State Highway numbered route, State owned",19BU017681,Burlington PD,10,1.16,None/Other,Day,Bank St,None,Heavy Truck,,VT0040100,T - Intersection,None,S Winooski Ave,Dry,9993,"44.478268960215914,-73.21110873873744"
4212556,,"August 15, 2019, 11:21 AM",Milton,Park Pl,PARK PL,Property Damage Only,Rear-to-rear,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19MT006320,Milton PD.,9,999.99,None/Other,Day,Bombardier Rd,None,None,,VT0040600,Parking Lot,,Park Pl,,0,"44.619845731600414,-73.12446876823729"
4213955,,"August 15, 2019, 11:29 AM",Burlington,Maple St,MAPLE ST. BURLINGTON,Property Damage Only,Same Direction Sideswipe,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU017695,Burlington PD,2,0.07,None/Other,Day,S Champlain St,None,None,,VT0040100,Not at a Junction,None,Maple St,Dry,U5066,"44.47353639025872,-73.21706697526535"
4215828,,"August 15, 2019, 12:03 PM",South Burlington,Airport Dr,AIRPORT DRIVE,Property Damage Only,Rear End,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19SB008633,So. Burlington PD.,2,0.02,None/Other,Day,Williston Rd,None,None,,VT0040300,Not at a Junction,None,Airport Dr,Dry,U5202,"44.46331684310785,-73.15408631652234"
